goal,meal_type,description,calories,proteins,carbs,fats
Muscle Gain,Lunch,Grilled Chicken with Rice,386,17,64,6
Muscle Gain,Snack,Vegan Stir Fry,514,23,62,25
Maintain,Dinner,Baked Salmon with Quinoa,201,13,50,25
Weight Loss,Snack,Grilled Chicken with Rice,413,22,42,6
Muscle Gain,Dinner,Oatmeal with Fruit,505,28,30,18
Maintain,Breakfast,Oatmeal with Fruit,446,40,45,19
Maintain,Lunch,Oatmeal with Fruit,395,33,31,24
Weight Loss,Dinner,Tuna Salad,596,15,54,17
Weight Loss,Lunch,Grilled Chicken with Rice,273,22,70,15
Maintain,Lunch,Vegan Stir Fry,289,27,60,25
Weight Loss,Lunch,Grilled Chicken with Rice,355,18,55,14
Muscle Gain,Snack,Oatmeal with Fruit,481,38,56,16
Maintain,Snack,Turkey Wrap,315,30,21,13
Maintain,Snack,Smoothie Bowl,609,27,64,16
Muscle Gain,Snack,Tuna Salad,346,21,45,6
Muscle Gain,Lunch,Turkey Wrap,449,12,36,23
Weight Loss,Lunch,Grilled Chicken with Rice,541,29,26,9
Weight Loss,Snack,Turkey Wrap,562,30,58,13
Muscle Gain,Lunch,Oatmeal with Fruit,371,13,56,6
Muscle Gain,Snack,Smoothie Bowl,460,24,69,25
Maintain,Dinner,Oatmeal with Fruit,410,34,26,25
Muscle Gain,Lunch,Tuna Salad,673,40,57,11
Weight Loss,Snack,Oatmeal with Fruit,658,38,58,16
Muscle Gain,Breakfast,Vegan Stir Fry,216,19,61,16
Muscle Gain,Snack,Vegan Stir Fry,492,40,56,8
Maintain,Dinner,Vegan Stir Fry,529,12,68,25
Muscle Gain,Lunch,Oatmeal with Fruit,624,14,47,16
Muscle Gain,Lunch,Vegan Stir Fry,368,34,66,25
Maintain,Dinner,Grilled Chicken with Rice,525,16,60,23
Muscle Gain,Snack,Baked Salmon with Quinoa,512,18,54,15
Maintain,Breakfast,Vegan Stir Fry,353,29,29,8
Weight Loss,Breakfast,Tuna Salad,576,12,69,6
Muscle Gain,Breakfast,Protein Shake,657,13,68,22
Maintain,Dinner,Grilled Chicken with Rice,319,28,66,6
Muscle Gain,Dinner,Tuna Salad,542,15,46,9
Maintain,Snack,Baked Salmon with Quinoa,268,24,63,5
Maintain,Lunch,Smoothie Bowl,563,40,28,17
Muscle Gain,Breakfast,Smoothie Bowl,536,13,27,7
Weight Loss,Breakfast,Smoothie Bowl,640,11,32,17
Muscle Gain,Breakfast,Oatmeal with Fruit,224,30,37,8
Maintain,Dinner,Smoothie Bowl,638,36,35,15
Maintain,Dinner,Protein Shake,364,14,30,5
Weight Loss,Dinner,Smoothie Bowl,430,21,40,23
Weight Loss,Snack,Vegan Stir Fry,621,35,68,9
Maintain,Breakfast,Oatmeal with Fruit,231,30,20,17
Weight Loss,Dinner,Vegan Stir Fry,225,31,56,5
Maintain,Breakfast,Grilled Chicken with Rice,447,28,25,19
Maintain,Dinner,Tuna Salad,551,22,67,23
Weight Loss,Dinner,Protein Shake,686,37,22,8
Muscle Gain,Dinner,Smoothie Bowl,231,21,43,12
Maintain,Breakfast,Oatmeal with Fruit,214,22,60,9
Muscle Gain,Dinner,Protein Shake,683,24,29,13
Maintain,Snack,Vegan Stir Fry,491,19,57,19
Weight Loss,Dinner,Turkey Wrap,593,22,68,10
Maintain,Breakfast,Smoothie Bowl,532,13,41,25
Maintain,Dinner,Baked Salmon with Quinoa,204,30,25,21
Maintain,Dinner,Baked Salmon with Quinoa,571,27,64,7
Maintain,Snack,Smoothie Bowl,406,32,26,18
Muscle Gain,Snack,Baked Salmon with Quinoa,630,26,57,17
Maintain,Lunch,Grilled Chicken with Rice,442,40,41,19
Muscle Gain,Breakfast,Grilled Chicken with Rice,524,31,38,15
Muscle Gain,Lunch,Vegan Stir Fry,642,36,41,17
Muscle Gain,Breakfast,Turkey Wrap,332,24,53,16
Muscle Gain,Breakfast,Oatmeal with Fruit,319,12,41,7
Muscle Gain,Lunch,Baked Salmon with Quinoa,440,17,39,8
Maintain,Lunch,Turkey Wrap,380,24,51,21
Muscle Gain,Breakfast,Oatmeal with Fruit,526,38,63,8
Weight Loss,Breakfast,Turkey Wrap,467,31,68,18
